125,"Palindromic Sums",20 Sep 25 (12:48)
124,"Ordered Radicals",20 Sep 25 (11:34)
123,"Prime Square Remainders",20 Sep 25 (11:07)
122,"Efficient Exponentiation",20 Sep 25 (08:55)
121,"Disc Game Prize Fund",19 Sep 25 (10:59)
120,"Square Remainders",10 Sep 25 (15:22)
119,"Digit Power Sum",10 Sep 25 (11:28)
118,"Pandigital Prime Sets",10 Sep 25 (11:08)
117,"Red, Green, and Blue Tiles",10 Sep 25 (10:52)
116,"Red, Green or Blue Tiles",10 Sep 25 (10:47)
115,"Counting Block Combinations II",08 Sep 25 (13:56)
114,"Counting Block Combinations I",08 Sep 25 (13:00)
113,"Non-bouncy Numbers",06 Sep 25 (19:50)
112,"Bouncy Numbers",06 Sep 25 (14:58)
111,"Primes with Runs",03 Sep 25 (13:01)
109,"Darts",02 Sep 25 (13:17)
110,"Diophantine Reciprocals II",31 Aug 25 (08:37)
108,"Diophantine Reciprocals I",29 Aug 25 (14:25)
107,"Minimal Network",29 Aug 25 (13:44)
106,"Special Subset Sums: Meta-testing",28 Aug 25 (16:23)
105,"Special Subset Sums: Testing",07 Aug 25 (23:07)
104,"Pandigital Fibonacci Ends",07 Aug 25 (21:25)
103,"Special Subset Sums: Optimum",06 Aug 25 (18:04)
102,"Triangle Containment",20 Jul 25 (13:21)
101,"Optimum Polynomial",19 Jul 25 (21:55)
96,"Su Doku",19 Jul 25 (14:43)
100,"Arranged Probability",19 Jul 25 (14:43)
99,"Largest Exponential",19 Jul 25 (14:42)
98,"Anagramic Squares",19 Jul 25 (14:04)
97,"Large Non-Mersenne Prime",19 Jul 25 (03:14)
95,"Amicable Chains",19 Jul 25 (01:43)
94,"Almost Equilateral Triangles",19 Jul 25 (01:10)
93,"Arithmetic Expressions",19 Jul 25 (00:37)
84,"Monopoly Odds",18 Jul 25 (22:01)
78,"Coin Partitions",18 Jul 25 (22:00)
92,"Square Digit Chains",18 Jul 25 (21:55)
91,"Right Triangles with Integer Coordinates",18 Jul 25 (21:43)
90,"Cube Digit Pairs",18 Jul 25 (21:30)
89,"Roman Numerals",18 Jul 25 (20:39)
88,"Product-sum Numbers",18 Jul 25 (20:21)
87,"Prime Power Triples",18 Jul 25 (19:49)
86,"Cuboid Route",18 Jul 25 (19:02)
85,"Counting Rectangles",18 Jul 25 (17:30)
83,"Path Sum: Four Ways",18 Jul 25 (15:10)
82,"Path Sum: Three Ways",18 Jul 25 (14:23)
81,"Path Sum: Two Ways",18 Jul 25 (13:45)
80,"Square Root Digital Expansion",18 Jul 25 (13:02)
79,"Passcode Derivation",18 Jul 25 (09:26)
77,"Prime Summations",17 Jul 25 (14:45)
76,"Counting Summations",17 Jul 25 (08:45)
75,"Singular Integer Right Triangles",17 Jul 25 (01:13)
74,"Digit Factorial Chains",16 Jul 25 (23:31)
73,"Counting Fractions in a Range",16 Jul 25 (21:47)
72,"Counting Fractions",16 Jul 25 (21:07)
71,"Ordered Fractions",16 Jul 25 (14:41)
70,"Totient Permutation",16 Jul 25 (12:40)
69,"Totient Maximum",16 Jul 25 (10:03)
68,"Magic 5-gon Ring",15 Jul 25 (11:32)
67,"Maximum Path Sum II",12 Mar 20 (16:36)
66,"Diophantine Equation",12 Mar 20 (13:14)
65,"Convergents of $e$",11 Mar 20 (15:10)
64,"Odd Period Square Roots",11 Mar 20 (14:39)
63,"Powerful Digit Counts",11 Mar 20 (13:52)
62,"Cubic Permutations",11 Mar 20 (12:16)
61,"Cyclical Figurate Numbers",10 Mar 20 (14:56)
60,"Prime Pair Sets",17 Dec 19 (11:19)
59,"XOR Decryption",13 Dec 19 (13:38)
58,"Spiral Primes",12 Dec 19 (13:13)
57,"Square Root Convergents",12 Dec 19 (12:18)
56,"Powerful Digit Sum",12 Dec 19 (11:59)
55,"Lychrel Numbers",12 Dec 19 (11:29)
54,"Poker Hands",12 Dec 19 (08:35)
53,"Combinatoric Selections",11 Dec 19 (09:20)
52,"Permuted Multiples",06 Dec 19 (11:24)
51,"Prime Digit Replacements",05 Dec 19 (22:13)
42,"Coded Triangle Numbers",05 Dec 19 (09:28)
46,"Goldbach's Other Conjecture",04 Dec 19 (14:25)
45,"Triangular, Pentagonal, and Hexagonal",04 Dec 19 (10:56)
44,"Pentagon Numbers",03 Dec 19 (22:39)
41,"Pandigital Prime",03 Dec 19 (21:22)
43,"Sub-string Divisibility",03 Dec 19 (11:59)
40,"Champernowne's Constant",02 Dec 19 (21:38)
38,"Pandigital Multiples",02 Dec 19 (20:02)
50,"Consecutive Prime Sum",28 Nov 19 (14:08)
49,"Prime Permutations",28 Nov 19 (11:36)
48,"Self Powers",28 Nov 19 (11:03)
47,"Distinct Primes Factors",28 Nov 19 (08:32)
39,"Integer Right Triangles",26 Nov 19 (10:48)
37,"Truncatable Primes",13 Nov 19 (11:33)
36,"Double-base Palindromes",13 Nov 19 (10:27)
35,"Circular Primes",12 Nov 19 (21:40)
34,"Digit Factorials",12 Nov 19 (19:12)
33,"Digit Cancelling Fractions",12 Nov 19 (14:14)
32,"Pandigital Products",11 Nov 19 (22:27)
31,"Coin Sums",11 Nov 19 (21:11)
30,"Digit Fifth Powers",11 Nov 19 (11:42)
29,"Distinct Powers",11 Nov 19 (11:17)
28,"Number Spiral Diagonals",30 Oct 19 (13:18)
27,"Quadratic Primes",30 Oct 19 (08:55)
26,"Reciprocal Cycles",29 Oct 19 (00:05)
25,"$1000$-digit Fibonacci Number",28 Oct 19 (21:08)
24,"Lexicographic Permutations",28 Oct 19 (14:03)
23,"Non-Abundant Sums",24 Oct 19 (15:49)
22,"Names Scores",10 Oct 19 (10:49)
21,"Amicable Numbers",10 Oct 19 (10:23)
20,"Factorial Digit Sum",10 Oct 19 (09:54)
19,"Counting Sundays",10 Oct 19 (09:45)
18,"Maximum Path Sum I",10 Oct 19 (09:30)
17,"Number Letter Counts",09 Oct 19 (15:43)
16,"Power Digit Sum",09 Oct 19 (08:51)
15,"Lattice Paths",09 Oct 19 (08:41)
14,"Longest Collatz Sequence",08 Oct 19 (20:38)
13,"Large Sum",08 Oct 19 (19:55)
12,"Highly Divisible Triangular Number",08 Oct 19 (14:54)
11,"Largest Product in a Grid",08 Oct 19 (14:26)
10,"Summation of Primes",08 Oct 19 (13:21)
9,"Special Pythagorean Triplet",08 Oct 19 (12:55)
8,"Largest Product in a Series",08 Oct 19 (12:23)
5,"Smallest Multiple",08 Oct 19 (12:00)
6,"Sum Square Difference",08 Oct 19 (11:30)
7,"10 001st Prime",27 Sep 19 (12:56)
642,"Sum of Largest Prime Factors",08 Feb 19 (01:39)
3,"Largest Prime Factor",03 Jul 15 (14:27)
2,"Even Fibonacci Numbers",03 Jul 15 (13:05)
4,"Largest Palindrome Product",03 Jul 15 (10:39)
1,"Multiples of 3 or 5",02 Jul 15 (17:16)
